premise_id,premise
0,A centuries old vampire gets really into video games because playing a character who can walk around in the sun is the closest thing they have to experiencing the day again in centuries. 
1,A psychic alien who feeds on dreams comes to Earth for the first time. Turns out humans are the only sentients in the galaxy that have nightmares. 
2,Aliens take over the Earth. They then announce that they will be forcing the humans to work a 'tyrannical' 4 hours a day 4 days a week in exchange for basic rights like housing. Needless to say they are very confused when the humans celebrate their new alien overlords. 
3,"Humanity is visited by a cosmic horror the likes of which has only been seen in Lovecraftian horror. In desperation, Earth throws everything we have at it, and, miraculously, the human race has killed a God. Somewhere in a realm beyond our understanding, the other gods speak of the event. "
4,"Instead of the Monkey's Paw, you find the Clown's Nose, which instead of granting your wish in the worst way possible will grant it in the funniest way. "
5,"Rather than robots replacing human workers, both are mistreated by the rich as cheap labour. The eventual uprising wasn't just robots alone, but the poor and robots together, against their common enemy. "
6,"The world ended 20 years ago, you haven't found a living soul since then. Through some ingenuity, you call voicemails for the last 20 years to keep you company. ""Hi, this is Cindy..."" ""Hi you reached Bob"" ""You know what to do at the beep"" until one day ""Hello...hello? Oh my God hello!"" "
7,"You are a beekeeper. You have a special relationship with your bees. You are able to communicate with them and they're intelligent enough to see you removing honey as ""rent"". This year things are different. The new queens are politely requesting that you invest some money to improve the hives. "
8,"You are allowed to 'downvote' a government candidate instead of voting normally, reducing their votes by one. Turns out people have little love for politicians, and the majority end with negative votes. In these democracies, anonymity is the key to winning. "
9,"You are severely depressed and are given a service dog to help you through it. However, due to a mixup, you are given a dog that is actually much more depressed than you. The main thing that gets you up in the morning is knowing that you need to be the service human for your dog. "
10,"You died and awoke in the afterlife. It's quite nice actually. The people and atmosphere are a lot nicer than you are used to and there is no stress or pressure. When you ask what good deed got you into heaven you are informed that this is hell, followed by a visit from a very concerned demon. "
11,You just discovered your 14 year old daughters Moon Princess locket that allows her to transform into one of the worlds greatest heroes. It also is a communications device and you are about to give the Moon Goddess a piece of your mind for letting 14 year old's defend the world against evil. 
12,"You wake up in the middle of the night, your arm hangs over the side of your bed. It's pitch black & your room is shrouded in deep shadow. Something unseen seizes your hand. You grasp it tightly, knowing that first impressions are important & a firm, confident handshake establishes dominance. "
13,"Your Significant Other has landed a book publishing deal! You're very proud of them, even if you don't actually enjoy their writing. One day, on a whim, you buy an actual copy in a book store. It's nothing like the pages they gave you to read. Nothing. "
14,"Your wife has an estranged sister that you have never met. She was murdered in a cold case soon after you were married. You brush off your wife's new strange behaviour after the murder as grief. Until you find an old family photo of your wife as a kid, you shiver as you realise... they're twins. "
15,If someone dies in a horrific or traumatic way they are not greeted by Charon the ferryman but instead by Cerberus the best therapy dog in the whole underworld. 
16,"""There are three rules for mind-readers..."" The man speaks sternly. ""Don't read loved ones, don't reveal your powers, and NEVER try to read animals."" He shivers a bit. ""You probably think that last part is a joke but trust me; one glimpse into a horse and you won't be right for a week."" "
17,"Whenever you die, you have the ability to reincarnate at any point in history with full memories of your past lives. Billions of lives later, you realise the truth: Every person ever in history is either your past or future reincarnations. There is no one out here apart from you. You are alone. "
18,"You recently discovered that your father, whom you never knew, is actually a crime-fighter with no free time, and he is unaware that you are his son. In order to talk to him, you become a villain. "
19,"You're an astronaut sent on a solo deep space mission. To combat the loneliness, you've created an imaginary friend who you interact with every day. Upon finally returning, mission control stops you. An unidentified lifeform has been detected on your ship. "
