participant_id,story_id,premise_id,premise,profile,timestamp,llm_annotator,author_type,author_short,author_full,net_upvotes,authenticity_explanation,authenticity_score,emotion_provoking_explanation,emotion_provoking_score,empathy_explanation,empathy_score,engagement_explanation,engagement_score,narrative_complexity_explanation,narrative_complexity_score,human_likeness_explanation,human_likeness_score
0,j9029yj,0,A centuries old vampire gets really into video games because playing a character who can walk around in the sun is the closest thing they have to experiencing the day again in centuries.,You are a renowned literary critic known for your incisive and rigorous analysis.,2024-05-28 15:42:36,gpt-4o-2024-05-13,Human,Human-Advanced,Human-Advanced,1100,"The dialogue between the characters feels somewhat authentic in representing a casual conversation between gamers. However, the sudden introduction of a vampire character feels a bit contrived and diminishes the believability. The interplay between reality and the game world is interesting but not fully convincing.",3.0,"The story attempts to evoke emotions through the vampire character's reminiscing about the past and the knight's emote. While there is an effort to show emotional depth, it largely falls flat due to the brevity and lack of context. The emotions depicted are not deeply explored.",2.0,"The text does provide a moment where the vampire character's reaction to the emote could elicit some empathy from the reader. However, the overall lack of context and depth makes it difficult to fully engage with the characters' experiences on an empathetic level.",2.0,"The conversation is somewhat engaging, particularly for readers familiar with gaming culture. The twist with the vampire character adds a layer of intrigue, but the overall narrative lacks sufficient depth to maintain strong engagement.",3.0,"The characters show hints of multifaceted personalities, especially with the vampire's historical references and emotional reaction. However, the dialogue-driven format limits the exploration of relationships and conflicts. The story remains relatively simple and does not delve into complex narrative structures.",2.0,"The story contains elements that suggest human authorship, such as the nuanced dialogue and the attempt at emotional depth. However, the overall execution feels somewhat mechanical and lacks the subtlety and richness often found in human writing. The blend of gaming references and historical allusions could be a product of an LLM trained on diverse textual sources.",3.0
1,j9029yj,0,A centuries old vampire gets really into video games because playing a character who can walk around in the sun is the closest thing they have to experiencing the day again in centuries.,"You are a literary therapist, someone who uses literature as a medium for healing and introspection.",2024-05-28 15:42:42,gpt-4o-2024-05-13,Human,Human-Advanced,Human-Advanced,1100,"The interactions between the characters feel somewhat genuine, capturing the casual banter one might expect in a conversation about a video game. However, the mention of 'vampire' and the exaggerated reactions detract slightly from its authenticity.",3.0,"The emotions depicted are fairly subdued and not deeply explored. There's a hint of surprise and immersion, especially with the vampire's reaction to the emote, but it's not deeply moving. The emotions are sketched rather than deeply painted.",2.0,"The text doesn't delve deeply enough into the characters' emotional states to elicit strong empathy from the reader. The brief moment of surprise and immersion gives a small glimpse into the character's state, but it's fleeting.",2.0,"The dialogue has a playful tone that can be engaging, especially for readers familiar with gaming culture. However, the stakes are low, and the narrative doesn't push the reader to keep reading with urgency.",3.0,"The narrative is quite straightforward, focusing on a brief interaction in a game. There's a small twist with the vampire reveal, but the characters remain fairly one-dimensional and the plot is simplistic.",2.0,"The dialogue and nuances in the conversation suggest a human touch, particularly the playful banter and cultural references. However, the lack of depth in emotional exploration and the somewhat forced 'vampire' twist might hint at an LLM's influence.",3.0
2,j9029yj,0,A centuries old vampire gets really into video games because playing a character who can walk around in the sun is the closest thing they have to experiencing the day again in centuries.,You are a professor teaching a course on psychological literature.,2024-05-28 15:42:49,gpt-4o-2024-05-13,Human,Human-Advanced,Human-Advanced,1100,"The dialogue feels somewhat authentic, capturing the casual banter and camaraderie between the two characters. However, the inclusion of a vampire character and the specific context of a video game make it less relatable to real human experiences. The authenticity is further diluted by the exaggerated character traits, such as the vampire lamenting about sunlight.",3.0,"The story attempts to provoke emotion, especially through the character's reaction to the in-game knight and the 'Praise the Sun' moment. However, the emotions are not deeply explored or nuanced, and the impact feels relatively mild. The dialogue is light-hearted and doesn't delve into profound emotional states.",2.0,"While the story allows for a degree of empathy, particularly for the vampire character's isolation from sunlight, it doesn't lead to significant introspection or new insights. The characters' situations are only briefly touched upon, limiting the depth of empathy one might feel.",2.0,"The dialogue is engaging to a point, with a humorous and casual tone that might appeal to readers familiar with gaming culture. However, the lack of substantial plot or deeper emotional stakes limits the overall engagement. The story feels more like a snippet of a larger narrative rather than a fully engaging piece on its own.",3.0,"The narrative is relatively simple, focusing on a brief interaction between two characters. There is some complexity in the vampire character's backstory and the reference to the Dark Ages, but these elements are not fully developed. The story lacks multifaceted personalities and intricate conflicts.",2.0,"The dialogue and casual tone suggest a human touch, particularly in the humorous banter and gaming references. However, the lack of deeper emotional exploration and the somewhat simplistic narrative structure could also be indicative of LLM-generated content. On balance, it leans slightly more towards human authorship due to the nuanced, albeit light, humor.",4.0
0,j902zmd,0,A centuries old vampire gets really into video games because playing a character who can walk around in the sun is the closest thing they have to experiencing the day again in centuries.,You are a renowned literary critic known for your incisive and rigorous analysis.,2024-05-28 15:42:56,gpt-4o-2024-05-13,Human,Human-Intermediate,Human-Intermediate,211,"The story, while imaginative, lacks a sense of real human experience due to its fantastical elements and the supernatural nature of the protagonist. The psychological processes are depicted in a way that is somewhat believable within the context of the story, but they do not strongly resonate as true to real human experiences.",2.0,"The writing attempts to depict emotional experiences, particularly the protagonist's yearning and fascination with different forms of art and technology. However, the emotions are somewhat superficial and lack depth. The narrative tells more than it shows, and the emotional journey of the character is not fully explored.",2.0,"The story struggles to evoke empathy for the protagonist, partly due to the character's supernatural nature and partly due to the lack of deep emotional exploration. The reader is given information about the protagonist's desires, but there is little introspection or insight that allows for a deeper connection.",2.0,"The text has an intriguing premise and some engaging elements, particularly the exploration of various forms of art and technology. However, the pacing and lack of emotional depth make it somewhat less engaging. The narrative does not compel the reader to keep reading as strongly as it could.",3.0,"The story has a unique premise and some interesting ideas, but the characters are not fully developed beyond basic traits. The relationship between the protagonist and the inventor is touched upon but not deeply explored. The internal conflicts and complexities are hinted at but not fully realized.",3.0,"The story exhibits characteristics that could belong to both human and LLM authorship. The imaginative premise and certain stylistic choices suggest human creativity, but the lack of deep emotional and psychological exploration hints at possible LLM-generated content. On balance, it leans slightly towards LLM due to its surface-level treatment of complex themes.",2.0
1,j902zmd,0,A centuries old vampire gets really into video games because playing a character who can walk around in the sun is the closest thing they have to experiencing the day again in centuries.,"You are a literary therapist, someone who uses literature as a medium for healing and introspection.",2024-05-28 15:43:02,gpt-4o-2024-05-13,Human,Human-Intermediate,Human-Intermediate,211,"The story presents an intriguing concept involving a vampire's quest for experiencing daylight through technology. While the notion is imaginative, it doesn't align closely with real human experiences. The psychological processes depicted, such as the vampire's yearning and deal-making, feel somewhat authentic but are fantastical in nature.",2.0,"The writing does a fair job of depicting the vampire's longing and the bittersweet realization of what he has missed. However, it lacks depth in exploring the nuances of these emotions. The narrative tells more than it shows, limiting the emotional impact.",3.0,"The story provides some insight into the vampire's inner world, allowing readers to empathize with his desire and sense of loss. However, the text does not delve deeply enough to provoke significant introspection or new insights.",3.0,"The narrative captures attention with its unique premise and progression. The curiosity about how the vampire will achieve his goal keeps the reader engaged, although the emotional and psychological engagement could be stronger.",3.0,"The story includes some complexity, particularly in the vampire's internal conflict and the relationship with the inventor. However, the characters are not deeply developed, and the plot is relatively straightforward.",3.0,"The story shows creativity and a certain level of narrative complexity that suggests human authorship. However, the occasional lack of emotional depth and the more telling-than-showing style might hint at LLM involvement. Overall, it leans more towards human-written due to the nuanced internal conflict and unique premise.",4.0
2,j902zmd,0,A centuries old vampire gets really into video games because playing a character who can walk around in the sun is the closest thing they have to experiencing the day again in centuries.,You are a professor teaching a course on psychological literature.,2024-05-28 15:43:12,gpt-4o-2024-05-13,Human,Human-Intermediate,Human-Intermediate,211,"The writing is steeped in fantastical elements, which naturally detracts from its authenticity. The experiences described, such as the invention of a world-altering technology and a supernatural creature's longing for the sun, are not grounded in real human experiences. While it captures the essence of yearning and the pursuit of desires, the context is too far removed from reality to feel truly authentic.",2.0,"The story does evoke a sense of the character's longing and dissatisfaction with various forms of art and technology. However, the emotions are somewhat abstract and not deeply explored. The narrative tells us about the character's feelings rather than showing them through interactions or detailed inner monologues.",3.0,"While the protagonist's yearning for something unattainable is a relatable theme, the fantastical context and lack of deep character exploration make it harder to empathize with the character. The reader is given a glimpse into the character's desires, but not enough to foster a deep empathetic connection.",3.0,"The story is intriguing due to its unique premise and the gradual unveiling of the protagonist's desires and actions. However, the pacing and the lack of detailed emotional exploration may reduce overall engagement. The narrative does keep the reader curious about the protagonist's journey and ultimate goal.",3.0,"The main character exhibits some level of complexity, particularly in their pursuit of various forms of art and technology to fulfill their desires. However, the other characters, such as the inventor, are not as developed. The story hints at deeper themes but does not delve deeply into the complexities of relationships or internal conflicts.",3.0,"The narrative has a certain flair and creativity that leans towards human authorship, especially with its imaginative premise and unique style. However, the lack of deep emotional and psychological exploration, along with the somewhat formulaic progression, might suggest an LLM influence.",3.0
0,j90nocp,0,A centuries old vampire gets really into video games because playing a character who can walk around in the sun is the closest thing they have to experiencing the day again in centuries.,You are a renowned literary critic known for your incisive and rigorous analysis.,2024-05-28 15:43:19,gpt-4o-2024-05-13,Human,Human-Novice,Human-Novice,6,"The story attempts to portray human emotions and experiences, but its execution feels somewhat forced and artificial. The concept of a vampire named Stacy BloodRayne engaging with the modern world through a mall and video games stretches believability. While the underlying themes of loneliness and seeking connection are relatable, the way they are depicted lacks nuance and depth.",2.0,"The writing tries to evoke emotions through Stacy's sense of isolation and eventual joy from gaming. However, it relies heavily on telling rather than showing these emotions, which dilutes their impact. The transition from her initial despair to newfound happiness feels abrupt and lacks the gradual emotional build-up necessary for a more profound impact.",2.0,"While the story attempts to create a character with whom readers can empathize, it falls short due to its lack of depth in character development. Stacy's experiences are described in a somewhat superficial manner, making it difficult for readers to truly connect with her on an emotional level or gain new insights from her journey.",2.0,"The narrative has some engaging elements, particularly in the concept of a vampire finding solace in video games. However, the writing style is somewhat monotonous, and the lack of narrative tension or significant conflict makes it hard to remain deeply engaged throughout the story.",2.0,"The story presents a simple narrative with limited character development and minimal exploration of relationships or internal conflicts. Stacy's character is portrayed in a one-dimensional manner, and the plot progression is straightforward without delving into the complexities of her struggles or the nuances of her interactions.",2.0,"The story contains elements that suggest it could be written by an LLM, such as the somewhat clichéd character names and the lack of deep emotional or psychological exploration. Additionally, the writing style feels formulaic and lacks the nuanced touch typically found in human-authored narratives. However, the attempt to address themes of loneliness and connection hints at some human-like understanding of emotional experiences.",2.0
1,j90nocp,0,A centuries old vampire gets really into video games because playing a character who can walk around in the sun is the closest thing they have to experiencing the day again in centuries.,"You are a literary therapist, someone who uses literature as a medium for healing and introspection.",2024-05-28 15:43:27,gpt-4o-2024-05-13,Human,Human-Novice,Human-Novice,6,"The story grapples with themes of isolation, escapism, and the search for meaning, which are relatable human experiences. However, the setting and characters, such as a vampire named Stacy BloodRayne, feel fantastical and somewhat detached from real human experiences. The interactions, particularly the conversation with the cashier, also feel somewhat forced and lack the nuance of real-life dialogue.",3.0,"The story attempts to depict Stacy's emotional journey from isolation to a form of connection through gaming. While the narrative tries to evoke feelings of loneliness and eventual joy, it often tells rather than shows these emotions, making it less impactful. The description of Stacy's emotional awakening feels abrupt and not deeply explored.",2.0,"The character of Stacy is somewhat relatable due to her feelings of isolation and her search for meaning. However, the fantastical elements and the somewhat superficial treatment of her emotional state make it difficult to fully empathize with her. The story does not deeply engage with her inner world or provide significant introspection.",2.0,"The narrative has an intriguing premise with the juxtaposition of a vampire finding solace in gaming. However, the execution is somewhat lacking, with a rushed pacing and a lack of depth in character development. While the story has moments that pique interest, it does not consistently engage on a deeper psychological level.",2.0,"The story is relatively straightforward with a simple plot: a vampire finds happiness through gaming. The characters are not particularly multifaceted, and the relationships and internal conflicts are not deeply explored. The narrative does not delve into complexities or provide intricate resolutions.",2.0,"The story has a blend of imaginative elements and attempts at emotional depth, which could suggest a human author. However, the somewhat clichéd character names, forced dialogue, and the tendency to tell rather than show emotions hint at the possibility of it being written by an LLM. The lack of nuanced psychological exploration also suggests a non-human author.",2.0
2,j90nocp,0,A centuries old vampire gets really into video games because playing a character who can walk around in the sun is the closest thing they have to experiencing the day again in centuries.,You are a professor teaching a course on psychological literature.,2024-05-28 15:43:36,gpt-4o-2024-05-13,Human,Human-Novice,Human-Novice,6,"The story attempts to explore the emotions and experiences of a vampire character in a modern setting. However, it lacks realistic psychological processes and depth that make the experiences feel authentic and believable. The dialogue and interactions seem somewhat forced and contrived, reducing the authenticity.",2.0,"The story does attempt to depict emotional experiences such as loneliness and the eventual joy of finding community through gaming. However, these emotions are described in a rather superficial manner and lack the nuanced depiction that would make them truly moving. The narrative tells us about the emotions rather than showing them in a way that provokes a deeper emotional response.",2.0,"While the story does create a character who is isolated and longing for connection, it doesn't delve deeply enough into her psyche to foster real empathy. The reader gets a surface-level understanding of Stacy's situation, but the lack of internal conflict and psychological depth makes it hard to truly connect with her on an empathic level.",2.0,"The concept of a vampire finding solace in video games is intriguing, but the execution fails to fully engage the reader. The pacing is uneven, and the narrative lacks tension or compelling conflict that would make it hard to put down. The story has moments of interest but doesn't maintain a strong emotional or psychological engagement throughout.",2.0,"The story's characters and relationships are not particularly multifaceted. Stacy's personality is defined primarily by her loneliness and eventual discovery of gaming, without much exploration of her internal conflicts or complexity. The narrative is relatively straightforward and lacks the intricacies that would make it more complex and interesting.",2.0,"The story contains some elements that suggest a human author, such as the use of humor and the attempt to create an emotional arc. However, the overall lack of depth, uneven pacing, and somewhat stilted dialogue are indicative of writing generated by a language model. The narrative feels more mechanical than organically crafted, which leans towards it being LLM-written.",2.0
0,inbvq5e,1,A psychic alien who feeds on dreams comes to Earth for the first time. Turns out humans are the only sentients in the galaxy that have nightmares.,You are a renowned literary critic known for your incisive and rigorous analysis.,2024-05-28 15:43:43,gpt-4o-2024-05-13,Human,Human-Advanced,Human-Advanced,1200,"The story, while imaginative and creative, doesn't delve deeply into real human experiences or psychological processes in a way that feels authentic. The alien perspective and the fantastical elements create a distance from genuine human experiences. The concept of tasting dreams, while intriguing, is abstract and less grounded in real psychological processes.",2.0,"The story does evoke some emotional responses, particularly when describing the variety of dreams and the terror of nightmares. However, these emotions are not deeply explored and remain somewhat surface-level. The depiction of fear and terror in nightmares is vivid but lacks the nuance and complexity of real emotional experiences.",3.0,"While the story does elicit some empathy for humanity's unique capacity for nightmares, the alien narrator's perspective makes it challenging to deeply connect with the characters. The pity expressed by the alien for humans experiencing nightmares shows a degree of empathy, but the distance created by the alien viewpoint limits deeper introspection or new insights.",3.0,"The story is engaging due to its unique premise and vivid descriptions of dreams and nightmares. The reader's curiosity is piqued by the alien's experiences and observations. However, the lack of deeper character development and emotional nuance may reduce prolonged engagement.",4.0,"The narrative is relatively straightforward, with a single character (the alien) reflecting on different types of dreams. There is a lack of multifaceted personalities or intricate relationships. The alien's reflections on various dreams provide some complexity, but the overall structure and character development are simple.",2.0,"The story exhibits characteristics often associated with LLMs, such as imaginative and creative premises, but a tendency to remain on the surface level of emotional and psychological depth. The focus on vivid descriptions and the abstract concept of tasting dreams suggest an algorithmic approach to storytelling rather than a deeply human one.",2.0
