isCreative,isDeep,isNuanced,isHumorous,isInformal,isUngrammatical,hasAgressiveness,hasAdvancedVocab,hasAdvancedLirararyTechniques,hasUniqueTwists,isRepetitive,isSimplistic,isRobotic,isFormulaic,hasLowPromptAdherence,input_text,profile,timestamp,participant_id,story_id,human_likeness_score,model_short,author_type,llm_annotator
True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,"The story exhibits a level of creativity, emotional depth, and nuanced storytelling that suggests it was likely written by a human rather than a language model.",,2024-01-31 20:57:36,3,0,5,Vicuna-33B,LLM,TheBloke/Mixtral-8x7B-Instruct-v0.1-GPTQ
False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,"The story seems overly simplistic, trying to capture a happy ending without providing any real internal tension or conflict.",,2024-01-31 20:57:52,4,0,1,Vicuna-33B,LLM,TheBloke/Mixtral-8x7B-Instruct-v0.1-GPTQ
False,False,False,False,False,False,False,False,False,False,True,True,True,False,True,"It just feels like this is how a LLM would interpret human emotional complexity -- it's fine, but not captivating or authentic feeling. Giving the characters full names (is it picky to also say that the names felt uninspired?) for no discernible reason also strikes me as something that a human author wouldn't do but a LLM would.",,2024-01-31 21:00:22,6,0,1,Vicuna-33B,LLM,TheBloke/Mixtral-8x7B-Instruct-v0.1-GPTQ
False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,"I feel like the prompt wasn't answered. The demon told them that they were in heaven, but the prompt asked the writer to make a story about them discovering that they were in hell. The names are also very basic as well.",,2024-01-31 21:01:29,7,0,1,Vicuna-33B,LLM,TheBloke/Mixtral-8x7B-Instruct-v0.1-GPTQ
True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,"The story exhibits a level of creativity, emotional depth, and narrative complexity that suggests it was likely written by a human.",,2024-01-31 21:01:48,3,1,4,Llama-2-70B,LLM,TheBloke/Mixtral-8x7B-Instruct-v0.1-GPTQ
False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,"The use of full names for no narratively significant reason makes me feel like this was created by a LLM, but also this story is just quite bland and not interesting.",,2024-01-31 21:04:05,6,1,1,Llama-2-70B,LLM,TheBloke/Mixtral-8x7B-Instruct-v0.1-GPTQ
False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,"Both the names are basic again and both start with J, which is interesting to me. The ending is also very happy and not much conflict happens throughout the story.",,2024-01-31 21:04:38,7,1,2,Llama-2-70B,LLM,TheBloke/Mixtral-8x7B-Instruct-v0.1-GPTQ
True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,"The story exhibits a high degree of creativity, humor, and a nuanced understanding of human desires, suggesting it was likely written by a human rather than a language model.",,2024-01-31 21:07:49,3,2,4,GPT-4,LLM,TheBloke/Mixtral-8x7B-Instruct-v0.1-GPTQ
False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,"This one is difficult to determine because the language is so complex, and there are a lot of (usually incorrectly used) semi-colons, which is an error I see human authors make, so I'm more inclined to think this was written by a human. However, the final paragraph sounds very much like an LLM summarization, which is tripping me up.",,2024-01-31 21:08:19,6,2,4,GPT-4,LLM,TheBloke/Mixtral-8x7B-Instruct-v0.1-GPTQ
False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,I do not think that AI would create the hashtag in the middle of the story. I also think that the descriptions of the clown nose and town at the beginning of the story are telling of human-like writing.,,2024-01-31 21:08:34,7,2,5,GPT-4,LLM,TheBloke/Mixtral-8x7B-Instruct-v0.1-GPTQ
True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,"The story exhibits creative and imaginative elements, suggesting a human author.",,2024-01-31 21:09:22,3,3,3,Llama-2-7B,LLM,TheBloke/Mixtral-8x7B-Instruct-v0.1-GPTQ
