participant_id,story_id,authenticity_score,empathy_score,engagement_score,emotion_provoking_score,narrative_complexity_score
2,0,2,2,1,2,1
3,0,4,5,5,5,3
4,0,2,2,1,1,1
6,0,2,1,1,1,1
7,0,2,3,1,2,2
2,1,2,4,2,4,1
3,1,4,4,4,5,3
4,1,4,4,4,5,4
6,1,3,2,1,1,2
7,1,1,3,2,2,2
2,2,4,4,2,4,2
3,2,5,4,4,5,4
4,2,3,3,2,3,2
6,2,4,4,3,4,3
7,2,4,4,3,3,4
2,3,2,1,1,1,4
3,3,4,5,4,4,3
4,3,2,4,2,3,2
6,3,4,3,1,2,2
7,3,1,1,1,1,2
2,4,3,1,5,4,5
3,4,3,2,3,2,2
4,4,3,2,4,2,1
6,4,4,2,5,2,3
7,4,1,1,4,1,1
2,5,4,4,4,4,1
3,5,4,3,4,5,3
4,5,4,2,3,2,3
6,5,2,2,1,1,1
7,5,3,2,2,2,2
2,6,4,2,2,1,2
3,6,3,4,3,4,2
4,6,5,4,4,4,4
6,6,3,3,3,3,1
7,6,1,1,1,1,2
2,7,2,2,4,4,5
3,7,5,5,4,5,4
4,7,4,5,4,5,4
6,7,3,2,3,3,4
7,7,4,5,4,3,4
2,8,2,2,4,2,3
3,8,5,4,5,4,3
4,8,4,3,3,3,4
6,8,4,3,5,3,5
7,8,5,4,5,4,5
2,9,2,4,5,4,4
3,9,4,3,4,4,3
4,9,4,3,3,3,2
6,9,5,3,5,3,4
7,9,1,1,1,1,1
2,10,2,4,5,2,4
3,10,4,4,5,4,3
4,10,4,3,5,4,5
6,10,4,3,4,4,3
7,10,4,4,5,3,4
2,11,4,1,2,1,4
3,11,4,4,4,4,3
4,11,4,3,4,4,5
6,11,2,1,1,1,3
7,11,5,2,3,1,3
2,12,2,5,4,4,2
3,12,5,5,4,5,4
4,12,5,5,4,4,4
6,12,4,4,3,5,3
7,12,5,4,4,3,4
2,13,4,4,5,4,4
3,13,4,3,5,4,4
4,13,3,3,3,2,2
6,13,4,3,3,3,2
7,13,1,1,1,1,1
2,14,2,1,1,2,2
3,14,5,4,5,5,4
4,14,2,3,3,3,4
6,14,4,3,3,3,2
7,14,3,3,4,2,3
2,15,2,2,2,1,1
3,15,4,3,4,4,3
4,15,2,2,4,3,3
6,15,5,2,2,1,3
7,15,1,2,2,2,2
2,16,2,1,4,1,2
3,16,3,3,3,3,3
4,16,3,4,3,2,4
6,16,3,3,2,3,2
7,16,3,1,1,1,1
2,17,2,4,5,5,4
3,17,5,4,4,4,4
4,17,3,4,3,3,2
6,17,4,5,4,3,4
7,17,5,4,5,4,5
2,18,5,4,1,3,2
3,18,4,4,5,4,4
4,18,3,5,4,4,3
6,18,4,2,1,4,3
7,18,1,1,1,1,1
2,19,1,1,1,5,5
3,19,1,1,1,1,1
4,19,2,1,1,1,1
6,19,3,1,1,1,1
7,19,1,1,1,1,1
2,20,2,1,1,1,4
3,20,4,3,4,3,3
4,20,2,2,3,2,3
6,20,1,1,3,3,2
7,20,1,2,3,1,1
2,21,4,2,4,4,4
3,21,4,5,4,4,3
4,21,3,4,4,5,5
6,21,1,1,1,1,1
7,21,3,3,1,2,1
2,22,2,4,2,2,1
3,22,5,5,4,5,4
4,22,3,3,4,5,2
6,22,3,3,1,2,3
7,22,5,5,5,4,5
2,23,4,5,4,4,1
3,23,5,5,4,4,3
4,23,3,3,3,3,2
6,23,2,2,2,3,1
7,23,3,2,1,1,1
2,24,3,2,4,2,2
3,24,4,3,5,4,4
4,24,4,4,3,2,3
6,24,4,3,3,2,2
7,24,2,1,1,1,1
2,25,4,5,5,2,2
3,25,4,5,5,5,5
4,25,5,4,4,5,5
6,25,5,4,5,4,5
7,25,3,5,5,4,5
2,26,1,4,4,4,2
3,26,5,5,5,5,5
4,26,2,3,2,4,3
6,26,4,3,4,3,4
7,26,2,3,2,2,4
2,27,2,2,2,2,4
3,27,5,4,4,4,4
4,27,3,2,2,3,3
6,27,2,2,3,2,4
7,27,3,3,4,2,4
2,28,1,2,2,1,1
3,28,4,4,5,4,3
4,28,2,4,3,2,2
6,28,3,2,2,1,1
7,28,1,1,1,1,1
2,29,3,4,2,4,4
3,29,5,4,5,5,4
4,29,5,4,3,4,3
6,29,4,5,4,5,3
7,29,3,4,1,1,1
2,30,4,2,3,3,1
3,30,5,5,5,5,4
4,30,4,4,5,4,5
6,30,3,4,3,4,5
7,30,2,1,1,2,1
2,31,2,2,2,1,2
3,31,4,4,4,5,5
4,31,4,3,2,3,1
6,31,1,1,1,1,1
7,31,1,1,1,1,1
2,32,2,1,4,1,1
3,32,5,4,4,4,3
4,32,4,3,2,4,1
6,32,2,1,2,2,1
7,32,1,1,2,1,1
2,33,1,2,4,2,1
3,33,5,4,5,4,4
4,33,4,4,5,3,4
6,33,4,2,4,3,3
