participant_id,story_id,human_likeness_score,human_likeness_comments,open_comments,model_short,author_type
3,0,5,"The story exhibits a level of creativity, emotional depth, and nuanced storytelling that suggests it was likely written by a human rather than a language model.",,Vicuna-33B,LLM
4,0,1,"The story seems overly simplistic, trying to capture a happy ending without providing any real internal tension or conflict.",,Vicuna-33B,LLM
6,0,1,"It just feels like this is how a LLM would interpret human emotional complexity -- it's fine, but not captivating or authentic feeling. Giving the characters full names (is it picky to also say that the names felt uninspired?) for no discernible reason also strikes me as something that a human author wouldn't do but a LLM would.",,Vicuna-33B,LLM
7,0,1,"I feel like the prompt wasn't answered. The demon told them that they were in heaven, but the prompt asked the writer to make a story about them discovering that they were in hell. The names are also very basic as well.",,Vicuna-33B,LLM
3,1,4,"The story exhibits a level of creativity, emotional depth, and narrative complexity that suggests it was likely written by a human.",,Llama-2-70B,LLM
6,1,1,"The use of full names for no narratively significant reason makes me feel like this was created by a LLM, but also this story is just quite bland and not interesting.","This story in particular provoked boredom in me, which is a feeling I seldom actively notice happening while reading!",Llama-2-70B,LLM
7,1,2,"Both the names are basic again and both start with J, which is interesting to me. The ending is also very happy and not much conflict happens throughout the story.",,Llama-2-70B,LLM
3,2,4,"The story exhibits a high degree of creativity, humor, and a nuanced understanding of human desires, suggesting it was likely written by a human rather than a language model.",,GPT-4,LLM
6,2,4,"This one is difficult to determine because the language is so complex, and there are a lot of (usually incorrectly used) semi-colons, which is an error I see human authors make, so I'm more inclined to think this was written by a human. However, the final paragraph sounds very much like an LLM summarization, which is tripping me up.","This was a pretty fun story! If this was written by a human who asked me for editing advice, I would recommend for them to simplify their language and remove the final paragraph.",GPT-4,LLM
7,2,5,I do not think that AI would create the hashtag in the middle of the story. I also think that the descriptions of the clown nose and town at the beginning of the story are telling of human-like writing.,,GPT-4,LLM
3,3,3,"The story exhibits creative and imaginative elements, suggesting a human author.",,Llama-2-7B,LLM
6,3,2,The repetition of the exact words used in the prompt make me inclined to think this was written by an LLM.,"The first paragraph has a distinctive type of syntax/writing style that it implements, but it drops off pretty much as quickly as it starts, and the rest of the story very much tells the narrative rather than shows it. In general, the later part of the story feels much blander than the beginning part.",Llama-2-7B,LLM
7,3,1,The format of the short story is very atypical. The story overall is also very basic in its sentence structure.,,Llama-2-7B,LLM
3,4,3,"The story exhibits creative and imaginative elements, suggesting a human author.",,Llama-2-13B,LLM
6,4,2,"I have seen TV shows where this sort of writing was implemented, so purely based on that, I could believe if this was written by a real person, but I'm going to guess that this was written by an LLM. But I know human writers are capable of so so so much more.","This story wasn't very interesting. The repeated use of words like ""silly"" and ""goofy"" was distracting and felt like it was forcibly inserted because the prompt had the word ""clown"" in it.",Llama-2-13B,LLM
7,4,2,"Likely AI. There are elements that indicate human writing like the questions asked, but the writing overall is very basic and lacks style.",,Llama-2-13B,LLM
3,5,5,"The story exhibits a high level of creativity, emotional depth, and nuanced exploration of philosophical concepts, suggesting it was likely written by a human.",,GPT-4,LLM
