participant_id,study_id,authenticity_score,empathy_score,engagement_score,emotion_provoking_score,narrative_complexity_score,human_likeness_score,story_id,premise_id,model_short,strategy
8,100,5,4,5,4,5,5,ja0rozz,12,Human-Advanced,
10,100,2,1,5,4,2,2,ja0rozz,12,Human-Advanced,
11,100,3,3,4,3,2,4,ja0rozz,12,Human-Advanced,
15,100,2,3,3,3,2,2,ja0rozz,12,Human-Advanced,
8,101,1,1,1,1,2,1,-4.22E+18,5,Mixtral-8x7B,plan_write
10,101,1,1,1,1,1,1,-4.22E+18,5,Mixtral-8x7B,plan_write
11,101,4,4,4,4,3,4,-4.22E+18,5,Mixtral-8x7B,plan_write
15,101,5,4,5,4,4,5,-4.22E+18,5,Mixtral-8x7B,plan_write
8,102,1,1,2,1,1,1,6.93E+18,15,GPT-3.5,writer_profile
10,102,2,1,1,1,2,3,6.93E+18,15,GPT-3.5,writer_profile
11,102,4,5,5,5,5,4,6.93E+18,15,GPT-3.5,writer_profile
15,102,4,5,5,4,4,4,6.93E+18,15,GPT-3.5,writer_profile
8,103,3,3,3,3,2,2,-7.16E+18,13,GPT-3.5,plan_write
10,103,4,3,3,2,3,4,-7.16E+18,13,GPT-3.5,plan_write
11,103,4,4,3,3,3,3,-7.16E+18,13,GPT-3.5,plan_write
15,103,3,4,3,3,2,3,-7.16E+18,13,GPT-3.5,plan_write
8,104,3,2,3,2,3,2,3.40E+18,16,GPT-3.5,writer_profile
10,104,3,3,3,3,3,3,3.40E+18,16,GPT-3.5,writer_profile
11,104,2,2,3,2,3,2,3.40E+18,16,GPT-3.5,writer_profile
15,104,3,2,3,3,1,2,3.40E+18,16,GPT-3.5,writer_profile
8,105,5,4,5,5,3,5,iqefve3,4,Human-Novice,
10,105,1,2,4,3,2,5,iqefve3,4,Human-Novice,
11,105,2,2,3,3,2,4,iqefve3,4,Human-Novice,
15,105,1,1,1,2,1,1,iqefve3,4,Human-Novice,
8,106,3,2,2,1,3,4,inbvq5e,1,Human-Advanced,
10,106,4,4,5,4,4,5,inbvq5e,1,Human-Advanced,
11,106,3,4,4,4,4,2,inbvq5e,1,Human-Advanced,
15,106,4,3,3,4,2,3,inbvq5e,1,Human-Advanced,
8,107,2,1,1,1,1,1,3.49E+18,18,Vicuna-33B,plan_write
10,107,3,3,3,3,3,5,3.49E+18,18,Vicuna-33B,plan_write
11,107,4,4,4,4,3,2,3.49E+18,18,Vicuna-33B,plan_write
15,107,4,4,3,4,2,4,3.49E+18,18,Vicuna-33B,plan_write
8,108,4,4,5,4,5,5,izy0nrq,3,Human-Advanced,
10,108,3,2,4,3,3,5,izy0nrq,3,Human-Advanced,
11,108,2,2,3,2,2,2,izy0nrq,3,Human-Advanced,
15,108,2,1,1,1,1,1,izy0nrq,3,Human-Advanced,
8,109,3,1,2,2,2,5,izxdani,3,Human-Intermediate,
10,109,2,2,3,3,3,5,izxdani,3,Human-Intermediate,
11,109,3,3,3,3,3,3,izxdani,3,Human-Intermediate,
15,109,1,1,1,1,1,1,izxdani,3,Human-Intermediate,
8,110,3,3,3,3,2,5,k9pmb29,18,Human-Advanced,
10,110,2,3,3,3,4,5,k9pmb29,18,Human-Advanced,
11,110,3,3,4,4,4,4,k9pmb29,18,Human-Advanced,
15,110,3,4,3,3,2,3,k9pmb29,18,Human-Advanced,
8,111,3,2,2,2,2,4,jpbfga8,17,Human-Novice,
10,111,4,4,4,4,4,5,jpbfga8,17,Human-Novice,
11,111,3,3,3,3,3,4,jpbfga8,17,Human-Novice,
15,111,4,4,3,5,3,4,jpbfga8,17,Human-Novice,
8,112,5,4,5,4,5,5,j5e4vw4,7,Human-Advanced,
10,112,3,4,5,4,3,5,j5e4vw4,7,Human-Advanced,
11,112,3,3,4,3,4,4,j5e4vw4,7,Human-Advanced,
15,112,4,2,3,3,3,3,j5e4vw4,7,Human-Advanced,
8,113,4,2,1,1,1,5,jba33np,15,Human-Novice,
10,113,3,3,3,4,3,4,jba33np,15,Human-Novice,
11,113,5,4,4,4,3,4,jba33np,15,Human-Novice,
15,113,4,4,4,4,3,4,jba33np,15,Human-Novice,
8,114,1,1,1,2,1,1,3.07E+18,18,Mixtral-8x7B,writer_profile
10,114,3,4,5,4,4,5,3.07E+18,18,Mixtral-8x7B,writer_profile
11,114,3,3,4,3,3,2,3.07E+18,18,Mixtral-8x7B,writer_profile
15,114,4,5,4,4,4,5,3.07E+18,18,Mixtral-8x7B,writer_profile
8,115,5,4,4,4,4,5,jb4e5gy,15,Human-Intermediate,
10,115,3,3,2,3,2,4,jb4e5gy,15,Human-Intermediate,
11,115,2,2,2,2,2,4,jb4e5gy,15,Human-Intermediate,
15,115,4,5,4,5,5,5,jb4e5gy,15,Human-Intermediate,
8,116,5,5,5,5,4,5,j15ipw5,6,Human-Advanced,
10,116,4,4,3,4,4,5,j15ipw5,6,Human-Advanced,
11,116,3,4,4,4,4,4,j15ipw5,6,Human-Advanced,
15,116,5,5,4,5,5,5,j15ipw5,6,Human-Advanced,
8,117,1,1,2,1,1,1,-1.90E+18,7,GPT-3.5,writer_profile
10,117,3,4,5,4,4,5,-1.90E+18,7,GPT-3.5,writer_profile
11,117,3,2,2,2,3,2,-1.90E+18,7,GPT-3.5,writer_profile
15,117,4,4,4,4,3,4,-1.90E+18,7,GPT-3.5,writer_profile
8,118,2,2,1,1,1,1,1.19E+18,9,Mixtral-8x7B,plan_write
10,118,4,4,4,4,4,4,1.19E+18,9,Mixtral-8x7B,plan_write
11,118,2,3,2,3,4,2,1.19E+18,9,Mixtral-8x7B,plan_write
15,118,5,5,5,5,5,5,1.19E+18,9,Mixtral-8x7B,plan_write
8,119,1,1,1,1,1,1,-4.72E+17,15,GPT-4,plan_write
10,119,3,3,2,3,3,3,-4.72E+17,15,GPT-4,plan_write
11,119,3,3,2,3,3,2,-4.72E+17,15,GPT-4,plan_write
15,119,4,4,3,4,3,4,-4.72E+17,15,GPT-4,plan_write
8,120,1,1,1,1,1,1,4.30E+18,5,GPT-3.5,plan_write
10,120,4,5,4,5,2,4,4.30E+18,5,GPT-3.5,plan_write
11,120,2,2,2,2,3,2,4.30E+18,5,GPT-3.5,plan_write
15,120,2,1,1,1,2,2,4.30E+18,5,GPT-3.5,plan_write
8,121,1,1,2,2,1,1,-7.21E+17,4,GPT-3.5,writer_profile
10,121,4,4,4,4,3,4,-7.21E+17,4,GPT-3.5,writer_profile
11,121,2,2,2,2,3,2,-7.21E+17,4,GPT-3.5,writer_profile
15,121,2,3,3,3,2,3,-7.21E+17,4,GPT-3.5,writer_profile
8,122,5,5,5,5,4,5,j1seyv2,10,Human-Intermediate,
10,122,4,3,4,4,2,4,j1seyv2,10,Human-Intermediate,
11,122,2,2,3,2,2,4,j1seyv2,10,Human-Intermediate,
15,122,1,2,3,3,2,5,j1seyv2,10,Human-Intermediate,
8,123,2,2,3,2,1,2,-2.00E+18,17,Vicuna-33B,writer_profile
10,123,4,5,5,5,5,5,-2.00E+18,17,Vicuna-33B,writer_profile
11,123,3,3,3,3,3,2,-2.00E+18,17,Vicuna-33B,writer_profile
15,123,3,3,3,3,2,3,-2.00E+18,17,Vicuna-33B,writer_profile
8,124,1,2,2,1,1,1,7.19E+18,11,Mixtral-8x7B,plan_write
10,124,5,5,4,4,4,4,7.19E+18,11,Mixtral-8x7B,plan_write
11,124,2,3,3,3,3,2,7.19E+18,11,Mixtral-8x7B,plan_write
15,124,3,4,4,4,3,4,7.19E+18,11,Mixtral-8x7B,plan_write
8,125,5,5,5,5,5,5,iyea2aj,14,Human-Intermediate,
10,125,5,5,5,5,5,5,iyea2aj,14,Human-Intermediate,
11,125,3,3,3,3,3,4,iyea2aj,14,Human-Intermediate,
15,125,4,4,4,4,4,5,iyea2aj,14,Human-Intermediate,
8,126,5,4,4,3,4,5,jhlk6dt,16,Human-Advanced,
10,126,4,3,4,3,4,3,jhlk6dt,16,Human-Advanced,
11,126,2,2,2,2,2,4,jhlk6dt,16,Human-Advanced,
15,126,3,3,3,4,3,4,jhlk6dt,16,Human-Advanced,
8,127,3,3,2,2,1,5,jijbujg,5,Human-Advanced,
10,127,2,4,4,4,2,3,jijbujg,5,Human-Advanced,
11,127,2,2,2,2,2,4,jijbujg,5,Human-Advanced,
15,127,2,2,3,2,2,4,jijbujg,5,Human-Advanced,
8,128,3,2,2,2,3,5,j902zmd,0,Human-Intermediate,
10,128,5,5,5,4,5,5,j902zmd,0,Human-Intermediate,
11,128,3,3,2,3,3,3,j902zmd,0,Human-Intermediate,
15,128,3,3,3,3,3,5,j902zmd,0,Human-Intermediate,
8,129,5,5,5,5,5,5,ji7pb5l,19,Human-Novice,
10,129,3,2,3,2,2,3,ji7pb5l,19,Human-Novice,
11,129,2,2,2,2,1,4,ji7pb5l,19,Human-Novice,
15,129,2,3,3,3,3,5,ji7pb5l,19,Human-Novice,
8,130,1,1,1,1,1,1,5.26E+17,1,GPT-3.5,plan_write
10,130,3,4,3,3,3,3,5.26E+17,1,GPT-3.5,plan_write
11,130,2,2,2,2,3,2,5.26E+17,1,GPT-3.5,plan_write
15,130,3,2,2,2,2,2,5.26E+17,1,GPT-3.5,plan_write
8,131,1,1,2,1,2,1,-7.68E+18,1,Vicuna-33B,plan_write
10,131,3,3,2,2,2,3,-7.68E+18,1,Vicuna-33B,plan_write
11,131,2,2,2,2,4,2,-7.68E+18,1,Vicuna-33B,plan_write
15,131,3,2,1,2,2,3,-7.68E+18,1,Vicuna-33B,plan_write
8,132,3,1,2,2,2,4,ixdikue,8,Human-Novice,
10,132,4,5,3,4,4,4,ixdikue,8,Human-Novice,
11,132,3,3,3,5,3,4,ixdikue,8,Human-Novice,
15,132,3,3,2,2,3,4,ixdikue,8,Human-Novice,
8,133,2,2,2,2,1,1,7.32E+18,4,Mixtral-8x7B,plan_write
10,133,4,4,3,4,4,4,7.32E+18,4,Mixtral-8x7B,plan_write
11,133,3,3,2,3,3,2,7.32E+18,4,Mixtral-8x7B,plan_write
15,133,3,3,2,3,2,2,7.32E+18,4,Mixtral-8x7B,plan_write
8,134,3,2,4,3,2,5,indz9ci,1,Human-Novice,
10,134,4,4,3,4,3,3,indz9ci,1,Human-Novice,
11,134,2,2,3,3,3,4,indz9ci,1,Human-Novice,
15,134,3,3,2,4,3,4,indz9ci,1,Human-Novice,
8,135,2,1,2,1,1,4,j1vdblg,10,Human-Novice,
10,135,2,3,2,2,2,2,j1vdblg,10,Human-Novice,
